Fecha;PM2.5(µg/m³);SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³)
10/03/2016;3;3;3;15;9;19;65
11/03/2016;5;3;8;30;10;40;44
12/03/2016;8;3;2;19;11;21;56
13/03/2016;12;3;2;13;15;15;70
14/03/2016;15;3;2;14;18;15;73
15/03/2016;11;3;2;17;15;19;65
16/03/2016;12;3;4;22;16;27;59
17/03/2016;9;3;3;14;13;17;64
18/03/2016;11;3;2;9;15;10;76
19/03/2016;25;3;2;23;30;24;58
20/03/2016;26;3;2;16;29;18;52
21/03/2016;17;3;2;14;19;16;62
22/03/2016;10;3;3;23;13;25;51
23/03/2016;9;4;7;31;19;41;52
24/03/2016;12;3;3;23;17;25;62
25/03/2016;13;3;4;25;20;28;56
26/03/2016;9;4;4;26;14;30;48
27/03/2016;3;3;2;9;6;11;61
28/03/2016;3;3;2;7;5;8;63
29/03/2016;6;3;3;16;11;18;62
30/03/2016;19;3;11;24;24;39;53
31/03/2016;11;3;;;19;;65
01/04/2016;3;3;;;9;;66
02/04/2016;8;3;;;16;;64
03/04/2016;11;3;;;17;;64
04/04/2016;10;3;;;13;;62
05/04/2016;4;3;;;5;;44
06/04/2016;6;3;;;15;;48
07/04/2016;9;3;;;15;;48
08/04/2016;2;3;;;4;;70
09/04/2016;5;3;;;10;;58
10/04/2016;10;3;;;16;;64
11/04/2016;7;3;;;12;;65
12/04/2016;8;3;;;13;;54
13/04/2016;3;3;;;9;;72
14/04/2016;9;3;;;18;;62
15/04/2016;17;3;;;22;;54
16/04/2016;5;3;;;11;;62
17/04/2016;2;3;;;3;;72
18/04/2016;7;3;;;13;;65
19/04/2016;7;3;;;14;;80
20/04/2016;9;3;;;16;;82
21/04/2016;7;3;;;12;;80
22/04/2016;13;3;;;19;;59
23/04/2016;8;;;;12;;60
24/04/2016;2;3;;;4;;70
25/04/2016;6;3;;;11;;72
26/04/2016;10;3;;;16;;71
27/04/2016;13;3;;;19;;63
28/04/2016;9;3;;;12;;66
29/04/2016;9;3;2;11;13;13;68
30/04/2016;12;3;3;15;14;17;56
01/05/2016;2;3;2;8;5;9;79
02/05/2016;5;3;5;26;13;32;65
03/05/2016;8;3;10;30;21;44;68
04/05/2016;9;3;2;15;13;17;83
05/05/2016;14;3;7;33;20;42;56
06/05/2016;13;3;2;14;17;16;80
07/05/2016;14;3;2;8;19;10;93
08/05/2016;13;3;2;6;16;8;88
09/05/2016;11;3;2;20;13;21;52
10/05/2016;6;3;5;24;9;30;40
11/05/2016;5;3;3;20;8;23;59
12/05/2016;2;3;2;13;3;15;69
13/05/2016;3;3;3;17;5;20;62
14/05/2016;3;3;3;20;6;22;59
15/05/2016;6;3;2;12;8;13;81
16/05/2016;10;3;2;14;14;16;73
17/05/2016;14;3;4;15;19;20;66
18/05/2016;17;3;4;17;22;21;62
19/05/2016;12;3;3;19;16;22;59
20/05/2016;13;3;2;13;18;15;63
21/05/2016;13;3;2;8;20;9;66
22/05/2016;10;3;2;9;18;12;66
23/05/2016;6;3;3;13;12;15;55
24/05/2016;8;3;3;12;14;15;59
25/05/2016;13;3;3;12;18;15;63
26/05/2016;13;3;2;7;18;8;76
27/05/2016;15;3;2;7;21;9;78
28/05/2016;15;3;4;16;28;20;60
29/05/2016;2;3;2;5;4;7;67
30/05/2016;5;3;3;11;9;14;72
31/05/2016;6;3;4;23;14;27;55
01/06/2016;8;3;3;20;14;23;71
02/06/2016;9;3;3;17;14;20;71
03/06/2016;9;3;1;12;14;13;72
04/06/2016;13;3;1;18;18;19;54
05/06/2016;14;3;1;9;17;10;59
06/06/2016;11;3;2;11;16;14;63
07/06/2016;12;3;2;9;16;11;57
08/06/2016;;3;5;17;;24;55
09/06/2016;;3;2;12;;14;58
10/06/2016;;3;1;4;;5;75
11/06/2016;;3;1;5;;5;79
12/06/2016;;3;1;8;;9;66
13/06/2016;;4;2;12;;15;61
14/06/2016;;3;1;10;;11;56
15/06/2016;5;3;2;13;17;15;54
16/06/2016;2;3;1;8;8;9;52
17/06/2016;6;3;2;15;14;17;62
18/06/2016;7;3;1;17;13;18;55
19/06/2016;5;3;1;6;9;6;67
20/06/2016;5;3;3;12;11;15;59
21/06/2016;6;3;3;18;13;22;55
22/06/2016;5;3;2;13;9;15;55
23/06/2016;7;3;4;20;12;25;60
24/06/2016;9;3;3;14;16;17;67
25/06/2016;7;3;1;5;10;6;69
26/06/2016;10;3;1;4;18;5;67
27/06/2016;10;3;1;9;17;11;57
28/06/2016;9;3;1;10;15;12;63
29/06/2016;9;3;1;10;14;12;63
30/06/2016;11;3;3;15;17;20;54
01/07/2016;11;3;2;9;17;12;58
02/07/2016;12;3;1;10;18;12;49
03/07/2016;12;3;1;7;19;9;56
04/07/2016;10;3;1;9;16;11;52
05/07/2016;9;3;3;15;15;20;60
06/07/2016;9;3;3;19;16;24;65
07/07/2016;8;3;3;25;15;29;59
08/07/2016;9;3;4;20;17;26;66
09/07/2016;11;3;1;7;17;9;77
10/07/2016;13;3;2;19;21;22;66
11/07/2016;12;3;3;17;22;21;75
12/07/2016;10;3;1;10;17;12;64
13/07/2016;8;3;1;8;20;10;59
14/07/2016;6;3;1;7;15;9;61
15/07/2016;6;3;1;8;17;10;62
16/07/2016;9;3;1;8;18;10;64
17/07/2016;6;3;1;7;12;9;71
18/07/2016;8;3;2;12;12;16;66
19/07/2016;9;3;4;16;15;22;63
20/07/2016;11;3;2;18;19;22;59
21/07/2016;9;3;2;15;16;17;53
22/07/2016;14;3;1;11;23;14;59
23/07/2016;9;3;1;11;16;14;57
24/07/2016;8;3;1;10;16;12;65
25/07/2016;8;3;3;14;17;18;66
26/07/2016;10;3;1;11;18;13;65
27/07/2016;9;3;1;9;13;12;65
28/07/2016;8;3;2;16;13;19;57
29/07/2016;9;3;2;15;15;18;62
30/07/2016;11;3;2;14;19;16;55
31/07/2016;14;3;2;16;23;18;38
01/08/2016;11;3;1;5;20;7;53
02/08/2016;9;3;2;11;16;14;49
03/08/2016;9;3;2;10;16;13;57
04/08/2016;8;3;1;8;13;10;59
05/08/2016;9;3;1;8;19;10;48
06/08/2016;9;3;2;9;19;12;49
07/08/2016;8;3;1;13;17;16;58
08/08/2016;7;4;2;19;12;22;60
09/08/2016;5;4;3;19;13;25;69
12/08/2016;9;3;1;15;17;17;65
13/08/2016;8;4;2;14;14;17;65
14/08/2016;7;3;1;8;11;10;66
15/08/2016;6;3;1;9;9;11;64
16/08/2016;9;3;2;22;14;25;39
17/08/2016;13;3;4;20;20;26;50
18/08/2016;15;3;2;10;23;13;52
19/08/2016;17;3;2;11;26;14;50
20/08/2016;16;3;1;6;23;8;47
21/08/2016;9;3;1;4;21;6;60
22/08/2016;9;3;2;14;17;17;48
23/08/2016;9;3;2;12;14;16;49
24/08/2016;8;3;2;12;11;17;58
25/08/2016;5;3;1;10;8;12;67
26/08/2016;5;4;2;13;7;17;60
27/08/2016;7;3;1;9;10;11;57
28/08/2016;11;3;1;7;17;9;51
29/08/2016;11;3;1;7;18;10;53
30/08/2016;9;3;1;5;18;7;59
31/08/2016;7;3;2;10;13;13;59
01/09/2016;7;3;2;14;12;17;56
02/09/2016;10;3;5;22;16;31;47
03/09/2016;11;5;4;24;19;30;45
04/09/2016;9;4;2;20;16;23;53
05/09/2016;10;3;5;29;22;36;50
06/09/2016;12;3;2;19;19;22;55
07/09/2016;11;3;2;12;16;15;57
08/09/2016;7;3;1;10;12;12;53
09/09/2016;9;3;2;11;15;14;52
10/09/2016;9;3;1;5;13;7;66
11/09/2016;11;3;1;8;15;10;60
12/09/2016;8;3;3;12;13;17;56
13/09/2016;9;3;2;12;14;15;57
14/09/2016;3;3;2;17;6;21;45
15/09/2016;3;3;6;25;7;34;40
16/09/2016;3;3;3;23;7;28;42
17/09/2016;3;4;2;17;5;21;41
18/09/2016;2;3;1;12;4;14;45
19/09/2016;3;3;5;23;7;30;42
20/09/2016;5;4;12;22;11;39;45
21/09/2016;8;3;9;22;13;37;47
22/09/2016;11;3;4;17;15;24;53
23/09/2016;11;3;5;19;17;27;57
24/09/2016;6;3;2;13;8;17;56
25/09/2016;8;3;2;12;10;15;55
26/09/2016;8;3;1;14;11;17;55
27/09/2016;8;3;6;16;11;25;48
28/09/2016;8;3;1;10;15;13;66
29/09/2016;10;3;1;16;13;18;65
30/09/2016;12;3;4;21;15;28;46
01/10/2016;14;3;2;19;17;23;48
02/10/2016;14;3;2;15;19;19;52
03/10/2016;12;3;2;15;16;19;49
04/10/2016;9;3;5;17;13;25;48
05/10/2016;10;3;2;16;14;18;48
06/10/2016;12;3;7;20;17;31;45
07/10/2016;10;3;5;18;15;26;53
08/10/2016;10;3;2;17;18;20;48
09/10/2016;7;3;1;6;13;8;57
10/10/2016;7;3;1;11;12;13;56
11/10/2016;11;5;5;22;18;29;57
12/10/2016;8;3;2;13;13;15;62
13/10/2016;5;3;5;29;7;36;32
14/10/2016;3;3;5;26;6;33;38
15/10/2016;7;3;3;23;10;28;49
16/10/2016;7;3;3;19;9;23;51
17/10/2016;7;3;6;23;12;32;52
18/10/2016;10;3;4;37;14;43;34
19/10/2016;13;3;8;37;15;49;35
20/10/2016;10;3;7;28;14;40;30
21/10/2016;6;3;2;16;11;19;48
22/10/2016;15;3;3;18;18;22;37
23/10/2016;19;3;3;20;24;24;34
24/10/2016;11;3;8;30;16;42;22
25/10/2016;16;3;9;34;23;48;17
26/10/2016;20;4;12;30;32;48;16
27/10/2016;17;3;13;25;27;45;29
28/10/2016;15;3;8;32;21;43;32
29/10/2016;17;3;6;36;22;45;26
30/10/2016;12;3;3;22;15;26;38
31/10/2016;16;3;4;22;19;27;50
01/11/2016;17;3;2;28;20;31;43
02/11/2016;15;4;17;41;20;67;25
03/11/2016;17;4;19;45;28;74;18
04/11/2016;23;;22;47;34;80;11
05/11/2016;7;3;3;16;14;20;36
06/11/2016;1;3;2;9;2;12;48
07/11/2016;3;3;3;22;7;27;34
08/11/2016;2;3;2;15;6;18;40
09/11/2016;4;3;4;24;10;31;30
10/11/2016;6;4;14;39;11;60;20
11/11/2016;7;4;24;40;12;77;18
12/11/2016;9;3;7;26;12;37;25
13/11/2016;8;3;3;25;11;30;23
14/11/2016;5;3;7;23;11;35;28
15/11/2016;6;3;7;22;14;32;28
16/11/2016;8;4;12;29;13;46;27
17/11/2016;11;5;21;41;18;73;19
18/11/2016;15;4;16;38;23;63;13
19/11/2016;12;3;13;27;16;47;21
20/11/2016;8;3;;;10;;36
21/11/2016;6;4;;;9;;18
22/11/2016;3;3;5;27;4;35;23
23/11/2016;3;3;6;32;4;41;18
24/11/2016;4;3;7;22;5;32;24
25/11/2016;5;3;9;25;8;38;23
26/11/2016;6;3;;;9;;34
27/11/2016;4;3;;;6;;47
28/11/2016;5;5;;;7;;22
29/11/2016;8;4;2;22;9;25;27
30/11/2016;7;3;1;10;13;12;52
01/12/2016;9;4;22;37;15;71;29
02/12/2016;12;4;29;39;16;84;11
03/12/2016;13;3;9;24;15;39;16
04/12/2016;10;3;1;10;13;12;49
05/12/2016;12;3;1;11;17;12;53
06/12/2016;9;3;3;19;13;24;36
07/12/2016;13;4;16;27;17;50;21
08/12/2016;12;3;2;14;15;16;43
09/12/2016;12;4;22;43;19;77;12
10/12/2016;13;3;11;30;16;47;14
11/12/2016;12;3;4;17;14;23;13
12/12/2016;11;5;;;16;;7
13/12/2016;15;4;;;19;;9
14/12/2016;18;4;20;39;22;69;12
15/12/2016;17;3;16;39;21;63;9
16/12/2016;12;3;8;27;14;39;27
17/12/2016;11;3;1;3;16;4;64
18/12/2016;11;3;1;8;13;9;52
19/12/2016;7;3;2;16;8;19;42
20/12/2016;4;3;6;30;6;39;23
21/12/2016;5;6;30;43;10;89;17
22/12/2016;7;6;37;40;15;96;18
23/12/2016;10;4;31;43;15;91;7
24/12/2016;11;4;26;34;14;73;11
25/12/2016;7;3;10;25;8;40;17
26/12/2016;10;3;9;22;11;35;15
27/12/2016;16;6;39;34;20;93;9
28/12/2016;14;4;23;27;18;62;17
29/12/2016;9;3;8;26;13;38;17
30/12/2016;15;3;15;29;18;52;17
31/12/2016;18;3;8;22;21;34;24
01/01/2017;12;3;1;15;13;17;25
02/01/2017;16;5;9;22;21;37;13
03/01/2017;23;6;;;28;;8
04/01/2017;17;4;;;23;;9
05/01/2017;10;4;;;15;;20
06/01/2017;11;3;3;28;15;32;25
07/01/2017;16;3;12;36;19;54;17
08/01/2017;14;3;16;35;16;60;16
09/01/2017;14;5;26;50;20;90;12
10/01/2017;8;3;12;28;13;45;26
11/01/2017;5;4;13;30;12;50;36
12/01/2017;7;5;24;33;12;69;15
13/01/2017;5;3;3;11;8;15;41
14/01/2017;1;3;1;3;3;4;57
15/01/2017;1;3;1;3;2;4;57
16/01/2017;2;3;1;8;6;10;50
17/01/2017;4;3;1;15;7;17;45
18/01/2017;5;3;6;23;12;31;37
19/01/2017;11;3;1;15;19;16;45
24/01/2017;11;5;36;54;19;109;15
25/01/2017;8;3;15;37;12;59;27
26/01/2017;17;3;12;39;23;56;28
27/01/2017;14;3;8;34;16;46;37
28/01/2017;3;3;8;18;4;30;45
29/01/2017;5;3;3;22;6;25;31
30/01/2017;9;4;23;41;12;75;17
31/01/2017;20;4;30;30;24;76;18
01/02/2017;24;3;22;46;29;80;11
02/02/2017;6;3;4;31;8;37;30
03/02/2017;5;3;1;14;7;16;47
04/02/2017;3;3;1;6;4;7;54
05/02/2017;1;3;1;2;2;3;61
06/02/2017;3;3;6;26;8;35;40
07/02/2017;3;3;3;18;6;22;34
08/02/2017;2;3;1;3;10;4;62
09/02/2017;3;3;4;26;7;33;44
10/02/2017;6;4;10;26;11;41;41
11/02/2017;8;3;1;6;11;7;58
12/02/2017;13;3;1;4;19;5;59
13/02/2017;13;3;4;26;18;31;39
14/02/2017;8;3;12;36;11;53;26
15/02/2017;14;3;11;32;19;47;28
16/02/2017;18;4;22;28;23;61;30
17/02/2017;18;3;12;31;23;49;18
18/02/2017;18;3;;;21;;34
19/02/2017;17;3;;;20;;52
20/02/2017;19;3;;;22;;32
21/02/2017;12;5;;;17;;24
22/02/2017;12;5;25;48;18;86;21
23/02/2017;13;4;15;40;23;62;19
24/02/2017;17;3;11;32;21;49;17
25/02/2017;11;3;7;15;14;25;37
26/02/2017;18;3;2;13;22;15;37
27/02/2017;13;3;;;18;;34
28/02/2017;3;3;;;6;;44
01/03/2017;6;3;4;22;8;27;38
02/03/2017;14;3;14;40;18;61;23
03/03/2017;17;3;13;25;19;44;38
04/03/2017;2;3;1;10;2;11;54
05/03/2017;3;3;1;8;4;9;42
06/03/2017;3;3;3;20;5;25;
07/03/2017;3;3;8;24;7;35;
09/03/2017;10;;16;54;16;78;35
10/03/2017;12;3;8;35;18;47;47
11/03/2017;22;3;10;40;26;54;37
12/03/2017;18;3;;;21;;56
13/03/2017;6;3;1;11;7;13;66
14/03/2017;12;3;;;17;;78
15/03/2017;19;3;;;23;;67
16/03/2017;24;4;4;33;27;38;60
17/03/2017;19;3;6;44;22;53;49
18/03/2017;14;3;3;35;18;39;65
19/03/2017;25;3;6;33;31;42;57
20/03/2017;23;4;6;26;29;34;62
21/03/2017;24;3;4;19;28;24;63
22/03/2017;8;3;;;16;;54
23/03/2017;2;3;;;5;;74
24/03/2017;3;3;;;4;;69
25/03/2017;4;3;1;22;6;24;71
26/03/2017;7;3;4;25;9;31;63
27/03/2017;5;3;4;31;7;36;66
28/03/2017;9;4;13;38;12;58;42
29/03/2017;7;3;5;35;10;43;55
30/03/2017;9;4;15;38;12;61;50
31/03/2017;8;3;8;35;11;46;59
01/04/2017;9;3;4;33;11;38;50
02/04/2017;2;3;1;22;3;23;61
03/04/2017;3;4;5;36;5;44;50
04/04/2017;7;3;8;36;10;48;51
05/04/2017;6;4;14;43;10;65;36
06/04/2017;6;4;5;39;9;46;48
07/04/2017;11;4;10;37;14;51;56
08/04/2017;11;3;2;24;13;27;76
09/04/2017;11;3;1;16;12;18;74
10/04/2017;12;3;6;33;14;42;58
11/04/2017;10;4;13;38;13;57;55
12/04/2017;10;3;2;24;12;27;59
13/04/2017;15;3;3;32;17;37;59
14/04/2017;15;5;4;32;19;39;67
15/04/2017;15;3;1;19;18;22;75
16/04/2017;12;3;1;11;15;14;71
17/04/2017;12;3;2;15;15;19;56
18/04/2017;13;3;2;20;15;23;62
19/04/2017;7;3;1;14;13;16;82
20/04/2017;5;3;1;17;10;19;84
21/04/2017;4;3;1;18;7;21;82
22/04/2017;4;3;1;13;5;15;87
23/04/2017;6;3;1;17;7;19;80
24/04/2017;7;3;2;20;9;23;77
25/04/2017;15;3;5;31;18;39;60
26/04/2017;13;3;4;19;16;25;55
27/04/2017;4;3;1;20;5;21;52
28/04/2017;4;4;1;18;6;20;61
29/04/2017;4;5;1;17;6;18;77
30/04/2017;4;5;1;13;5;14;66
01/05/2017;3;5;1;8;6;9;82
02/05/2017;4;5;4;22;6;28;65
03/05/2017;6;6;3;16;8;21;69
04/05/2017;5;5;4;20;7;26;60
05/05/2017;9;4;1;13;11;15;69
06/05/2017;3;3;1;17;5;18;68
07/05/2017;5;3;1;19;7;21;63
08/05/2017;5;3;3;19;8;24;72
09/05/2017;6;3;3;16;8;19;73
10/05/2017;6;3;4;17;8;22;73
11/05/2017;4;4;2;17;7;20;68
12/05/2017;1;3;2;13;3;17;68
13/05/2017;2;4;2;15;4;17;66
14/05/2017;3;3;2;12;4;15;76
15/05/2017;7;3;3;16;8;19;60
16/05/2017;9;4;6;30;11;38;51
17/05/2017;5;3;7;27;7;37;60
18/05/2017;6;3;7;30;9;40;56
19/05/2017;3;3;3;15;5;19;66
20/05/2017;3;3;2;12;4;15;74
21/05/2017;3;4;2;13;4;16;71
22/05/2017;5;3;5;18;6;25;67
23/05/2017;5;3;3;17;7;21;66
24/05/2017;7;4;3;20;8;25;66
25/05/2017;5;7;6;28;8;37;71
26/05/2017;5;4;5;20;7;27;75
27/05/2017;10;3;2;13;12;16;77
28/05/2017;9;3;2;10;10;12;77
29/05/2017;6;3;4;17;8;22;75
30/05/2017;8;3;4;23;11;29;74
31/05/2017;9;3;3;13;11;17;77
01/06/2017;11;3;4;22;13;28;63
02/06/2017;10;3;4;18;11;24;57
03/06/2017;10;3;2;11;11;14;61
04/06/2017;7;4;2;11;9;14;61
05/06/2017;2;3;3;17;3;21;57
06/06/2017;4;3;5;22;6;29;61
07/06/2017;4;4;2;11;6;14;65
08/06/2017;5;3;3;15;7;19;61
09/06/2017;6;4;2;11;7;14;60
10/06/2017;5;4;2;12;6;15;58
11/06/2017;5;3;3;17;6;20;68
12/06/2017;4;;3;16;5;21;59
13/06/2017;5;;5;21;7;28;56
14/06/2017;6;;4;23;7;27;67
15/06/2017;7;;3;25;9;29;59
16/06/2017;9;;3;21;11;24;56
17/06/2017;9;;3;17;12;22;66
18/06/2017;5;;2;9;7;11;75
19/06/2017;7;6;3;16;10;20;60
20/06/2017;8;4;4;18;11;23;62
21/06/2017;4;4;4;22;7;28;58
22/06/2017;4;3;4;26;7;32;50
23/06/2017;6;3;4;19;8;24;62
24/06/2017;8;3;2;13;10;16;57
25/06/2017;7;3;2;9;8;11;54
26/06/2017;7;4;3;16;9;19;55
27/06/2017;6;3;4;28;10;34;47
28/06/2017;2;3;2;12;5;15;51
29/06/2017;2;3;2;13;4;16;72
30/06/2017;2;4;2;16;4;19;65
01/07/2017;3;4;2;19;5;23;51
02/07/2017;2;3;2;10;4;12;56
03/07/2017;3;3;4;21;5;27;51
04/07/2017;2;3;5;18;4;26;48
05/07/2017;3;3;3;16;3;20;50
06/07/2017;4;3;2;16;5;18;49
07/07/2017;7;3;2;14;9;17;59
08/07/2017;6;5;2;20;9;22;59
09/07/2017;5;8;1;13;7;15;85
10/07/2017;7;9;3;16;8;19;65
11/07/2017;6;4;2;11;7;14;61
12/07/2017;7;3;3;16;9;21;55
13/07/2017;7;4;2;13;8;16;49
14/07/2017;5;6;2;11;7;13;46
15/07/2017;4;4;1;8;6;11;55
16/07/2017;5;3;2;12;6;15;53
17/07/2017;4;;2;12;6;15;63
18/07/2017;4;;2;12;6;15;66
19/07/2017;6;;1;12;10;14;61
20/07/2017;9;3;1;14;13;16;52
21/07/2017;8;3;1;12;11;15;54
22/07/2017;8;3;1;9;10;12;46
23/07/2017;7;3;1;8;9;10;51
24/07/2017;7;3;2;15;9;18;44
25/07/2017;3;3;2;13;7;16;46
26/07/2017;4;3;3;18;8;23;52
27/07/2017;6;3;3;16;9;21;51
28/07/2017;6;5;2;14;7;16;47
29/07/2017;5;3;1;11;7;13;43
30/07/2017;6;3;2;14;7;17;44
31/07/2017;6;3;1;10;7;12;33
01/08/2017;10;4;2;15;13;18;31
02/08/2017;11;3;3;28;16;34;27
03/08/2017;9;3;7;35;15;47;28
04/08/2017;8;5;2;16;11;19;38
05/08/2017;9;6;2;14;11;17;33
06/08/2017;6;4;2;10;8;13;47
07/08/2017;5;3;2;13;8;16;47
08/08/2017;5;3;3;15;10;19;46
09/08/2017;4;5;1;10;9;12;59
10/08/2017;2;4;2;12;3;15;65
11/08/2017;2;3;3;15;4;19;66
12/08/2017;3;3;2;12;4;15;75
13/08/2017;3;3;2;11;4;14;77
14/08/2017;3;3;2;11;4;14;76
15/08/2017;4;3;2;9;5;11;73
16/08/2017;6;3;2;15;8;18;64
17/08/2017;7;3;2;11;9;14;74
18/08/2017;5;3;3;15;7;19;65
19/08/2017;4;4;2;11;6;14;56
20/08/2017;4;4;2;9;6;11;56
21/08/2017;4;4;3;17;6;22;60
22/08/2017;4;3;4;17;6;23;68
23/08/2017;4;3;3;18;7;23;62
24/08/2017;4;3;2;15;6;19;73
25/08/2017;5;3;3;16;7;20;77
26/08/2017;8;3;2;11;9;14;70
27/08/2017;9;4;2;13;11;16;63
28/08/2017;9;3;3;16;10;20;53
29/08/2017;6;3;4;28;7;34;34
30/08/2017;4;3;4;24;5;30;51
31/08/2017;5;3;3;21;7;26;55
01/09/2017;5;3;2;14;7;18;67
02/09/2017;4;5;2;14;5;16;70
03/09/2017;5;3;2;12;6;15;74
06/09/2017;6;3;3;16;8;20;53
07/09/2017;7;3;2;15;10;19;55
08/09/2017;9;3;4;20;12;26;54
09/09/2017;9;3;1;16;16;18;60
10/09/2017;2;3;1;12;2;14;61
11/09/2017;3;4;6;33;8;43;53
12/09/2017;5;;9;25;10;40;47
13/09/2017;6;;5;24;12;33;50
14/09/2017;8;;7;28;13;40;64
15/09/2017;5;;1;12;10;14;61
16/09/2017;2;;2;12;4;15;57
17/09/2017;4;;2;17;5;20;62
18/09/2017;5;3;4;20;10;26;67
19/09/2017;6;3;4;22;10;29;66
20/09/2017;6;;;;9;;
22/09/2017;6;3;3;18;8;23;70
26/09/2017;7;3;1;11;11;13;86
27/09/2017;7;3;4;14;9;20;80
28/09/2017;7;3;2;18;9;22;78
29/09/2017;7;3;5;23;10;30;70
30/09/2017;8;3;2;16;10;19;81
01/10/2017;7;3;1;12;8;14;84
02/10/2017;8;3;8;25;10;37;57
03/10/2017;6;3;6;23;10;33;49
04/10/2017;4;3;4;21;5;27;44
05/10/2017;12;3;6;27;15;36;32
06/10/2017;8;3;12;32;11;51;38
07/10/2017;9;3;2;23;12;26;36
08/10/2017;6;3;2;16;8;18;52
09/10/2017;7;3;2;14;9;18;56
10/10/2017;7;3;5;21;9;28;55
11/10/2017;10;3;6;21;12;30;56
12/10/2017;16;3;2;15;18;18;61
13/10/2017;18;3;5;22;21;30;56
14/10/2017;16;3;2;16;17;19;62
15/10/2017;10;3;1;14;11;17;51
16/10/2017;;3;3;24;;28;47
17/10/2017;;5;5;22;;29;54
18/10/2017;11;4;5;30;14;38;39
19/10/2017;3;3;4;29;6;36;39
20/10/2017;5;3;7;30;8;40;45
21/10/2017;7;3;3;29;9;34;36
22/10/2017;6;3;1;16;9;18;45
23/10/2017;7;3;8;38;11;50;29
24/10/2017;9;7;8;43;15;55;28
25/10/2017;13;6;21;41;18;72;32
26/10/2017;23;8;13;42;28;62;35
27/10/2017;13;6;14;49;20;71;33
28/10/2017;11;8;3;34;16;38;35
29/10/2017;10;8;1;22;13;24;42
30/10/2017;12;4;6;30;20;38;35
31/10/2017;14;5;3;17;30;21;47
01/11/2017;16;3;2;17;24;19;51
02/11/2017;18;3;6;32;27;41;35
03/11/2017;22;3;17;38;32;63;33
04/11/2017;15;3;2;26;24;29;35
05/11/2017;2;4;1;6;11;7;60
06/11/2017;7;4;1;8;20;9;64
07/11/2017;7;3;11;37;23;54;34
08/11/2017;8;3;3;19;25;23;47
09/11/2017;6;4;6;23;20;32;53
10/11/2017;14;8;31;43;40;90;38
11/11/2017;10;4;9;39;21;53;32
12/11/2017;8;3;3;25;19;29;34
13/11/2017;10;1;1;11;47;13;63
14/11/2017;12;4;14;40;34;61;36
15/11/2017;22;3;20;50;57;81;29
16/11/2017;26;5;20;49;52;80;29
17/11/2017;68;10;25;68;95;107;21
18/11/2017;40;4;6;43;58;51;31
19/11/2017;36;3;2;26;46;28;49
20/11/2017;39;4;14;46;59;67;28
21/11/2017;34;3;23;51;65;87;22
22/11/2017;39;3;26;59;70;98;15
23/11/2017;32;4;60;67;83;159;10
24/11/2017;25;5;30;58;73;104;16
25/11/2017;22;3;8;36;59;48;28
26/11/2017;11;3;6;26;23;35;39
27/11/2017;18;4;13;47;40;66;20
28/11/2017;28;3;13;44;63;64;19
29/11/2017;21;3;7;40;25;51;13
30/11/2017;7;3;12;31;16;50;34
01/12/2017;6;3;3;19;13;23;49
02/12/2017;4;3;1;6;10;8;64
03/12/2017;7;3;1;21;9;23;50
04/12/2017;17;3;34;53;33;105;23
05/12/2017;21;3;24;52;37;89;17
06/12/2017;25;3;6;41;33;50;28
07/12/2017;36;3;23;53;51;88;22
08/12/2017;25;3;17;44;36;70;20
09/12/2017;23;3;6;33;28;42;22
10/12/2017;11;4;1;9;21;11;47
11/12/2017;6;3;1;18;15;20;54
12/12/2017;7;4;7;27;14;37;33
13/12/2017;9;3;8;33;19;45;27
14/12/2017;8;3;2;18;21;21;38
15/12/2017;5;4;2;16;11;19;46
16/12/2017;6;3;2;20;11;23;47
17/12/2017;8;3;5;25;14;33;44
18/12/2017;14;3;12;39;28;57;26
19/12/2017;17;3;4;25;35;30;39
20/12/2017;29;3;14;43;45;65;15
21/12/2017;35;5;17;49;53;75;15
22/12/2017;35;5;66;59;55;161;8
23/12/2017;25;6;31;46;36;94;9
24/12/2017;23;3;10;37;28;52;16
25/12/2017;18;3;4;26;20;32;25
26/12/2017;10;3;1;16;15;18;49
27/12/2017;5;3;1;12;17;13;58
28/12/2017;6;3;5;27;10;35;38
29/12/2017;9;3;8;36;14;48;21
30/12/2017;6;3;1;15;9;17;39
31/12/2017;8;3;2;13;13;15;46
01/01/2018;6;3;1;7;9;9;62
02/01/2018;8;3;2;19;14;21;46
03/01/2018;8;3;3;21;14;25;31
04/01/2018;7;3;2;15;13;19;35
05/01/2018;9;3;1;19;13;21;44
06/01/2018;16;3;2;24;20;27;36
07/01/2018;7;3;1;12;8;14;50
08/01/2018;15;4;10;36;23;51;28
09/01/2018;14;3;5;30;18;37;31
10/01/2018;6;3;4;20;9;26;44
11/01/2018;5;3;2;15;11;18;57
12/01/2018;12;3;19;44;22;73;24
13/01/2018;12;3;5;31;17;38;30
14/01/2018;8;3;3;23;11;27;43
15/01/2018;11;3;9;39;18;53;26
16/01/2018;9;3;4;26;19;33;38
17/01/2018;10;5;9;33;21;46;33
18/01/2018;19;8;18;51;32;79;22
19/01/2018;26;5;33;50;44;100;18
20/01/2018;10;8;4;23;17;29;41
21/01/2018;6;5;1;11;9;12;48
22/01/2018;11;4;8;32;19;44;23
23/01/2018;22;4;31;50;37;97;12
